Time:14:20:58:169  [-999999] Print Robot Cfg:
 Robot Type(0:Scara; 1:Delta; 2:SixAxis; 3:Cobot) = 3
 Robot Axis = 7
 Calbration location number = 100
 Tool offset(length) = 0.049000
 mDH a = 0, 0, 0, 0, 0, 0, 0
 mDH alpha = 1.5708, -1.5708, 1.5708, -1.5708, 1.5708, -1.5708, 0
 mDH d = 6e-07, 0.0505064, 0.491155, -0.118683, 0.317832, -0.0007692, 0.141703
 mDH theta = 0, 0, 0, 0, 0, 0, 0
 mDH beta = 0, 0, 0, 0, 0, 0, 0
 Move direction = 1, 1, 1, -1, 1, -1, 1
 Encoder line number = 524288, 524288, 524288, 524288, 524288, 524288, 524288

Time:14:21:0:119  [1] 0
Time:14:21:0:120  [2] 0
Time:14:21:0:122  [3] 0
Time:14:21:0:123  [4] 0
Time:14:21:0:124  [5] 0
Time:14:21:0:124  [6] 0
Time:14:21:0:125  [8] 0
Time:14:21:0:126  [9] 0
Time:14:21:0:934  [6] 1
Time:14:21:0:982  [7] 0
Time:14:21:0:983  [10] 0
Time:14:21:5:874  [1] System.Login 0
Time:14:21:5:875  [2] Thread.Abort "MacroThread"
Time:14:21:6:386  [3] Thread.Start "MacroThread"
Time:14:21:6:387  [4] Robot.Attached 1
Time:14:21:6:388  [5] System.ClearVariables
Time:14:21:6:388  [6] Robot.PowerEnable 1,1
Time:14:21:6:389  [7] Robot.Home 1
Time:14:21:6:390  [8] LocationJ RopeEncLoc
Time:14:21:6:390  [9] Profile Rope = 50,0,50,50,2,2
Time:14:21:6:391  [10] Profile.Set 1,Rope
Time:14:21:26:804  [11] 0
Time:14:21:26:877  [12] 0
Time:14:21:26:879  [13] 0
Time:14:21:26:880  [14] 0
Time:14:21:26:880  [14] 1
Time:14:21:26:881  [15] 0
Time:14:21:26:884  [16] 0
Time:14:21:26:892  [17] 0
Time:14:21:30:960  [11] Thread.Abort "MacroThread"
Time:14:21:30:961  [12] Thread.Start "MacroThread"
Time:14:21:30:962  [13] Robot.Attached 1
Time:14:21:30:963  [14] Robot.PowerEnable 1,1
Time:14:21:30:963  [15] Robot.Speed 1,20
Time:14:21:33:1  [16] RopeEncLoc=0.000,0.000,0.000,-90.000,0.000,0.000,0.000
Time:14:21:33:2  [17] Move.Joint RopeEncLoc
Time:14:21:33:343  [17] 1
Time:14:21:43:597  [18] 0 0.000,0.001,0.000,-90.000,0.000,0.001,0.000,0.000,0.000
Time:14:21:43:666  [19] 0
